context,question,response
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",what is name of the employer?,Ask Plan LLC
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",whast is employer address?,8000 marine drive_
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",what is employer city?,Melbourne city
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",what is employer state?,NY
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",what is employer zip?,13300
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",,
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",whast is employer phone no.?,900. 200.3322
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",what is employer TIN?,12-5463452
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",what is tax end year?,12/31
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",what is plan name?,Ask Plan Individual 401klPlan
"625]1

[esrrles

WfEE

Schwab Individual 401(k) Plan

Adoption Agreement

Page 3 of 7

WWW.schwab:com | 1-800-694-9449, option 3 (inside the U.S.) |+1-415-667-8400 (outside the U.S.)

1. Employer Information

Ask Plan LLC

Name of Adopting Employer

8000 marine drive_

Address

Melbourne city

NY

13300

State

Zip Code

900. 200.3322

12-5463452

Telephone

Adopting Employer's Federal Tax Hentification Number

12/31

Adopting Employer's Tax Year End (specify month and day)

Type of Business (select one):

Sole Proprietorship

Partnership

Corporation

S Corporation

LLC

Other (specify a legal entity recognized under federal income tax laws):

Ask Plan Individual 401klPlan

Name of Plan

001

22-6668745

12435267

Plan Sequence Number

Trust dentification Number (if applicable)

Account Number

Related Employers-If the Adopting Employer is part of a controlled group of corporations (as defined in Code section 414(b) as modified by Code

section 415(h)), a group of commonly controlled trades or businesses (as defined in Code section 414(c) as modified by Code section 415(h)), or an

affiliated service group (as defined in Code section 414(m)) of which the Adopting Employer is a part, or any other entity required to be aggregated

with the Adopting Employer pursuant to Code section 414(0), then all Related Employers of the Adopting Employer will participate in this Plan.

Part A.

New Plan Effective Date

This is the initial adoption of a 401(k) profit sharing plan by the Adopting Employer:

The Effective Date of this Plan is

(Must be no earlier than the first day of the Plan Year in which the Plan is adopted:)

If different from the Effective Date above, Elective Deferrals can be made under this Plan effective (select one):

Option 1:

The next payroll date coinciding with or following the later of the date this Adoption Agreement is signed or the

Effective Date.

Option 2:

(Must be on or after the later of the date this Adoption Agreement is signed or the Effective Date_

NOTE: If no option is selected, Option 1 will apply:

NOTE: The Effective Date is usually the first

of the Plan Year in which this Adoption Agreement is signed and may not be earlier

than such date. Elective Deferrals, however; cannot be made available before the later of the date this Adoption Agreement is signed or

the date specified above for Elective Deferrals

Part B.

Existing Plan Amendment or Restatement Date

This is an amendment or restatement of an existing qualified plan.

The nitial Plan Document was effective on

01/01/2023

This Plan is a frozen Plan effective on

F this Plan is a frozen Plan, no Employer Contributions may be made to the Plan with respect to Compensation earned on or after

the Effective Date that the Plan is frozen. In addition, no additional contributions

rollover; transfer) may be accepted by the

Plan on or after the date that the Plan is frozen. Depending on the facts and circumstances surrounding the freezing of the Plan,

other Plan provisions may be affected (e.g, availability of loans)

02022 Charles Schwab &

Inc. All rights reserved.

Member SPC.

(0222-1X8S)

REG30724-05 (04/22)

City

day =

(e.g ,

Co.,`",what is plan sequence number?,1
